Designator,Mid X,Mid Y,Layer,Rotation
C1,16.81,20.5,Top,270
C2,20.9,14.78,Top,180
C6,20.12,24.26,Top,0
C7,16.34,14.02,Top,90
C10,15.09,20.55,Top,270
C15,22.94,24.03,Top,90
C19,20.5,17.22,Top,0
D1,12.24,20.47,Top,270
D2,62.79,17.58,Top,90
D3,89.94,10.44,Top,90
D4,19.69,9.09,Top,270
D12,87.02,10.41,Top,90
J1,27.38,5.5,Top,180
J4,14.99,42.49,Top,270
JP1,84.2,10.03,Top,180
Q2,27.58,19.74,Top,180
Q3,16.66,10.64,Top,0
R1,55.3,17.37,Top,180
R2,88.09,34.95,Top,0
R3,12.24,17.3,Top,90
R4,89.92,13.23,Top,270
R5,84.91,36.5,Top,90
R6,23.57,20.17,Top,270
R7,17.65,7.47,Top,90
R8,17.68,13.89,Top,90
R9,33.83,5.23,Top,90
R10,21.13,4.83,Top,90
R11,85.93,34.72,Top,90
R12,82.35,36.68,Top,90
R13,83.52,34.65,Top,90
R17,27.76,16.69,Top,270
R18,24.94,17.02,Top,270
R34,87.4,13.13,Top,270
S3,53.49,9,Top,180
S4,47.24,9,Top,180
T1,58.83,18.49,Top,270
TP17,51.97,12.5,Top,0
TP18,51.87,15.44,Top,0
TP19,48.67,15.39,Top,0
TP20,48.69,12.47,Top,0
TP21,43.76,19.2,Top,0
U1,20.6,20.88,Top,90
U2,83.52,24.51,Top,180
U3,16.84,17.3,Top,270
U4,26.44,23.5,Top,270
U7,27.3,11.99,Top,0
